0.000000000000000000e+00 6.700000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 5.306741041599335462e-01
3.574886662363297124e-04 6.701152658052606625e+01 1.592481300657888177e+00 9.998110670437774239e-01 5.308864317272407041e-01
7.149773324726594248e-04 6.702305316105213251e+01 3.183824826766431304e+00 9.996221340875547368e-01 5.310987592945477509e-01
1.072465998708989083e-03 6.703457974157819876e+01 4.774031797242900943e+00 9.994332011313321606e-01 5.313110868618549087e-01
1.429954664945318850e-03 6.704610632210426502e+01 6.363103429264061361e+00 9.992442681751095845e-01 5.315234144291620666e-01
1.787443331181648616e-03 6.705763290263033127e+01 7.951040938269270164e+00 9.990553352188870084e-01 5.317357419964692244e-01
2.144931997417978166e-03 6.706915948315639753e+01 9.537845537963589138e+00 9.988664022626643213e-01 5.319480695637762713e-01
2.502420663654308149e-03 6.708068606368246378e+01 1.112351844032086667e+01 9.986774693064417452e-01 5.321603971310834291e-01
2.859909329890637699e-03 6.709221264420853004e+01 1.270806085558682064e+01 9.984885363502191691e-01 5.323727246983905870e-01
3.217397996126967249e-03 6.710373922473459629e+01 1.429147399228212656e+01 9.982996033939965930e-01 5.325850522656977448e-01
3.574886662363297232e-03 6.711526580526066255e+01 1.587375905720549341e+01 9.981106704377739058e-01 5.327973798330047916e-01
3.932375328599626782e-03 6.712679238578672880e+01 1.745491725543670469e+01 9.979217374815513297e-01 5.330097074003119495e-01
4.289863994835956332e-03 6.713831896631280927e+01 1.903494979033970935e+01 9.977328045253287536e-01 5.332220349676191073e-01
4.647352661072285882e-03 6.714984554683887552e+01 2.061385786356565930e+01 9.975438715691061775e-01 5.334343625349262652e-01
5.004841327308616299e-03 6.716137212736494178e+01 2.219164267505594523e+01 9.973549386128834904e-01 5.336466901022333120e-01
5.362329993544945848e-03 6.717289870789100803e+01 2.376830542304526261e+01 9.971660056566609143e-01 5.338590176695404699e-01
5.719818659781275398e-03 6.718442528841707428e+01 2.534384730406462793e+01 9.969770727004383382e-01 5.340713452368476277e-01
6.077307326017604948e-03 6.719595186894314054e+01 2.691826951294439496e+01 9.967881397442157621e-01 5.342836728041546746e-01
6.434795992253934498e-03 6.720747844946920679e+01 2.849157324281730297e+01 9.965992067879930749e-01 5.344960003714618324e-01
6.792284658490264915e-03 6.721900502999527305e+01 3.006375968512147523e+01 9.964102738317704988e-01 5.347083279387689903e-01
7.149773324726594464e-03 6.723053161052133930e+01 3.163483002960341395e+01 9.962213408755479227e-01 5.349206555060761481e-01
7.507261990962924014e-03 6.724205819104740556e+01 3.320478546432102007e+01 9.960324079193252356e-01 5.351329830733831949e-01
7.864750657199253564e-03 6.725358477157347181e+01 3.477362717564659533e+01 9.958434749631026595e-01 5.353453106406903528e-01
8.222239323435583114e-03 6.726511135209953807e+01 3.634135634826979810e+01 9.956545420068800833e-01 5.355576382079975106e-01
8.579727989671912664e-03 6.727663793262560432e+01 3.790797416520065610e+01 9.954656090506575072e-01 5.357699657753046685e-01
8.937216655908242213e-03 6.728816451315167058e+01 3.947348180777254356e+01 9.952766760944348201e-01 5.359822933426117153e-01
9.294705322144571763e-03 6.729969109367773683e+01 4.103788045564510867e+01 9.950877431382122440e-01 5.361946209099188732e-01
9.652193988380903047e-03 6.731121767420380309e+01 4.260117128680728626e+01 9.948988101819896679e-01 5.364069484772260310e-01
1.000968265461723260e-02 6.732274425472986934e+01 4.416335547758023239e+01 9.947098772257670918e-01 5.366192760445331889e-01
1.036717132085356215e-02 6.733427083525593559e+01 4.572443420262027303e+01 9.945209442695444046e-01 5.368316036118402357e-01
1.072465998708989170e-02 6.734579741578200185e+01 4.728440863492183865e+01 9.943320113133218285e-01 5.370439311791473935e-01
1.108214865332622125e-02 6.735732399630806810e+01 4.884327994582045562e+01 9.941430783570992524e-01 5.372562587464545514e-01
1.143963731956255080e-02 6.736885057683413436e+01 5.040104930499558122e+01 9.939541454008766763e-01 5.374685863137615982e-01
1.179712598579888035e-02 6.738037715736020061e+01 5.195771788047364481e+01 9.937652124446539892e-01 5.376809138810687561e-01
1.215461465203520990e-02 6.739190373788628108e+01 5.351328683863086866e+01 9.935762794884314131e-01 5.378932414483759139e-01
1.251210331827153945e-02 6.740343031841234733e+01 5.506775734419623092e+01 9.933873465322088370e-01 5.381055690156830718e-01
1.286959198450786900e-02 6.741495689893841359e+01 5.662113056025436464e+01 9.931984135759862609e-01 5.383178965829901186e-01
1.322708065074419855e-02 6.742648347946447984e+01 5.817340764824845678e+01 9.930094806197635737e-01 5.385302241502972764e-01
1.358456931698052983e-02 6.743801005999054610e+01 5.972458976798314012e+01 9.928205476635409976e-01 5.387425517176044343e-01
1.394205798321685938e-02 6.744953664051661235e+01 6.127467807762736385e+01 9.926316147073184215e-01 5.389548792849115921e-01
1.429954664945318893e-02 6.746106322104267861e+01 6.282367373371734942e+01 9.924426817510958454e-01 5.391672068522186390e-01
1.465703531568951848e-02 6.747258980156874486e+01 6.437157789115933326e+01 9.922537487948731583e-01 5.393795344195257968e-01
1.501452398192584803e-02 6.748411638209481112e+01 6.591839170323261499e+01 9.920648158386505822e-01 5.395918619868329547e-01
1.537201264816217758e-02 6.749564296262087737e+01 6.746411632159225746e+01 9.918758828824280060e-01 5.398041895541401125e-01
1.572950131439850713e-02 6.750716954314694362e+01 6.900875289627201425e+01 9.916869499262053189e-01 5.400165171214471593e-01
1.608698998063483668e-02 6.751869612367300988e+01 7.055230257568719310e+01 9.914980169699827428e-01 5.402288446887543172e-01
