7.430814889336057050e-03 6.723959329144048525e+01 3.286915227481090085e+01 9.960728102544735840e-01 5.350875779216982542e-01
2.192771221532097137e-02 6.770884807950983486e+01 9.553876492002922305e+01 9.884196901629426213e-01 5.436786859704466623e-01
3.684794330775786886e-02 6.820437579916739423e+01 1.576704009886638858e+02 9.806015105572319923e-01 5.523886033108753590e-01
5.221032704126415958e-02 6.872629786199449597e+01 2.193017853936810297e+02 9.726087747500010705e-01 5.612295133337935615e-01
6.803481456354587564e-02 6.927474251638969349e+01 2.804736828870205727e+02 9.644300776582159784e-01 5.702164509605491816e-01
8.434257575757575509e-02 6.985177494288097932e+01 3.411467426571704777e+02 9.560627634362308669e-01 5.793444291809154434e-01
1.011560937499998980e-01 7.045957432437465684e+01 4.012811267114902876e+02 9.475043658838753213e-01 5.886077723749516544e-01
1.184992683531744806e-01 7.110208721891287098e+01 4.607674010323498806e+02 9.387618934975249241e-01 5.979805741938684083e-01
1.363975294418842132e-01 7.178044826454117810e+01 5.196206574984685176e+02 9.298263538861528676e-01 6.074708649104728631e-01
1.548779613960866719e-01 7.249629264151569430e+01 5.778398493928551716e+02 9.206900116727346761e-01 6.170830201019978922e-01
1.739694398907103423e-01 7.325231106794515767e+01 6.353856068509064698e+02 9.113500901802842336e-01 6.268104680573737264e-01
1.937027824858756908e-01 7.405135074978099397e+01 6.922188877564182121e+02 9.018037038242662229e-01 6.366464645887645046e-01
2.141109146697837140e-01 7.489642722430745891e+01 7.483011471639864567e+02 8.920477859271578325e-01 6.465842101033988376e-01
2.352290532365395315e-01 7.579073775289138837e+01 8.035944938602898446e+02 8.820790146318051583e-01 6.566169623373329101e-01
2.570949091478695880e-01 7.673767643664382376e+01 8.580618335328576904e+02 8.718937366767122166e-01 6.667381442140016823e-01
2.797489123376623033e-01 7.774085125204349822e+01 9.116669982358690731e+02 8.614878886944951075e-01 6.769414465071917908e-01
3.032344612794611871e-01 7.880641185413364269e+01 9.642851226487392751e+02 8.508727385394303511e-01 6.871912623928192465e-01
3.275982005590495350e-01 7.993756467830723977e+01 1.015919750258351542e+03 8.400375882725683585e-01 6.974935528604373491e-01
3.463866397124887309e-01 8.082641524285537571e+01 1.053835107979779650e+03 8.317971570290634276e-01 7.052258726575741932e-01
